"id","keyword_value","keyword_tag_id"
158,".net",6
159,"2checkout",5
160,"2d",7
161,"3d",7
162,"abap",6
163,"accord.net",8
164,"acrobat",5
165,"actionscript",6
166,"activision engine",5
167,"ada",6
168,"adabas",5
169,"adminer",5
170,"ado.net",5
171,"adobe",5
172,"agile",7
173,"ai",7
174,"aix",5
175,"ajax",5
176,"alchemy",5
177,"algol",6
178,"alice",6
179,"alipay",5
180,"altibase",5
181,"amazon athena",5
182,"amazon emr",5
183,"amazon keyspaces",5
184,"amazon lumberyard",5
185,"amazon machine learning",5
186,"amazon pay",5
187,"amazon quicksight",5
188,"amazon rds",5
189,"amazon redshift",5
190,"amazon sagemaker",8
191,"anaconda",8
192,"analysis",7
193,"analytics",7
194,"analyzer",7
195,"analyzing",7
196,"android",8
197,"android pay",5
198,"android studio",5
199,"angular",8
200,"angular.js",8
201,"angularjs",8
202,"ansi",6
203,"ansible",5
204,"ant",5
205,"antivirus",5
206,"apache",8
207,"apache flink",8
208,"apache kafka",8
209,"apache spark",8
210,"apache wicket",8
211,"apexsql monitor",5
212,"api",6
213,"apl",6
214,"app watch",8
215,"appgamekit",5
216,"appium",8
217,"apple pay",5
218,"applix",5
219,"apps",7
220,"appstore",5
221,"appworx",5
222,"ar",5
223,"arcgis",8
224,"arcgixb",8
225,"architecting",7
226,"archiving",7
227,"arcsight",8
228,"arduino",5
229,"areva",8
230,"arm",5
231,"articulate",5
232,"ascii",6
233,"asl",6
234,"asp",8
235,"asp.net",8
236,"asp.net core",8
237,"assembly",6
238,"assembly 6",6
239,"atom",6
240,"atom solidity linter",5
241,"audacity",5
242,"audit",8
243,"authorize.net",5
244,"autocad",5
245,"autofac",8
246,"automation",7
247,"automl",5
248,"autosys",5
249,"avionics",5
250,"awk",6
251,"aws",8
252,"aws glue",5
253,"aws lake formation",5
254,"axure",5
255,"azure",8
256,"azure cosmos db",5
257,"azure synapse analytics",5
258,"baas",5
259,"backbone.js",8
260,"backbonejs",8
261,"backdrop cms",5
262,"backend",7
263,"backtrack",5
264,"bbc basic",6
265,"bi",5
266,"bigml",8
267,"bigquery",5
268,"bios",5
269,"bitbucket",5
270,"blender",5
271,"blizzard engine",8
272,"blockchain",7
273,"blockchain-as-a-service",5
274,"bluesnap",5
275,"bolt",5
276,"bookshelf.js",8
277,"bookshelfjs",8
278,"bootstrap",6
279,"bottle",8
280,"braintree",5
281,"bridging",7
282,"buildbox",5
283,"c",6
284,"c#",6
285,"c\++",6
286,"cabling",7
287,"caffe",5
288,"cakephp",6
289,"card.io",5
290,"cd/ci",5
291,"celtx",5
292,"centos",5
293,"cerberus x",5
294,"cfr",8
295,"cgi",8
296,"cgs",8
297,"cherrypy",8
298,"cisco",5
299,"cloud",5
300,"cloudera",5
301,"cmake",5
302,"cmod",5
303,"cms",5
304,"cmvc",8
305,"cobol",6
306,"cocoa",8
307,"cocos2d",8
308,"codeigniter",8
309,"coldfusion",5
310,"compiler",5
311,"compiling",7
312,"complexity",7
313,"computer vision",7
314,"computing",7
315,"configuring",7
316,"construct 3",6
317,"coral",5
318,"coredata",8
319,"corel",5
320,"corona",8
321,"cpanel",5
322,"crm",5
323,"cryengine",8
324,"cryptography",5
325,"cs5",5
326,"css",6
327,"cuda",5
328,"cuv",8
329,"cxml",5
330,"cyberark",5
331,"cybersecurity",7
332,"cygwin",5
333,"dapper",8
334,"dart",6
335,"data science",7
336,"data warehouse",8
337,"database",7
338,"database concepts",7
339,"databricks",8
340,"datacamp",5
341,"dataflex",5
342,"datalab",5
343,"datarobot",5
344,"daz3d",5
345,"db",7
346,"db visualizer",5
347,"db2",5
348,"dbflow",5
349,"dbms",5
350,"dbschema",5
351,"ddos",5
352,"debian",5
353,"debugging",7
354,"deep learning",7
355,"delphi",6
356,"deployment",7
357,"designer",7
358,"designing",7
359,"desktop",7
360,"devart",5
361,"developer",7
362,"development",7
363,"devops",8
364,"dhcp",7
365,"dhtml",5
366,"digital ocean",8
367,"django",8
368,"dlib",5
369,"dns",7
370,"docker",5
371,"dockerizing",7
372,"docking",7
373,"doctrine",8
374,"dojo",8
375,"dos",5
376,"dot-abi-cli",5
377,"dotcms",5
378,"dotnet",6
379,"dreamweaver",5
380,"drupal",8
381,"dsl",5
382,"dudaone",5
383,"dwolla",5
384,"dynamics",7
385,"dynamodb",5
386,"e-check",5
387,"easy ar",5
388,"ec2",5
389,"eclipse",5
390,"edi",8
391,"edifact",5
392,"edifecs",5
393,"edrms",8
394,"eigrp",7
395,"elastic search",5
396,"elixir",6
397,"emass",5
398,"embark",8
399,"embedded",7
400,"emr",8
401,"ems",8
402,"ems sql manager",5
403,"encoding",7
404,"encryption",7
405,"engineering",7
406,"ent",8
407,"enterprise",6
408,"entity",8
409,"entity 8",8
410,"entity 8 core",8
411,"epicor",8
412,"epm",5
413,"erd",7
414,"erlang",6
415,"erp",8
416,"esm tools",5
417,"eth fiddle",8
418,"ethereum-abi-ui",8
419,"ethereumj",8
420,"ethereumjs vm",8
421,"etherlime",8
422,"ethernet",5
423,"ethpm-spec",8
424,"etl",5
425,"express.js",8
426,"extranet",5
427,"f#",6
428,"farm",8
429,"fastapi",8
430,"filemaker",5
431,"filenet",5
432,"finance",5
433,"firebase",5
434,"firewall",7
435,"firmware",5
436,"flask",8
437,"forth",6
438,"fortran",6
439,"8",8
440,"frontend",7
441,"ftp",7
442,"fuelphp",8
443,"functional programming",7
444,"fusion 2.5",5
445,"gamebench",5
446,"gamemaker studio 2",5
447,"ganache",5
448,"ganache cli",5
449,"genome",5
450,"gensim",8
451,"geth",5
452,"gideros",8
453,"gis",8
454,"git",5
455,"github",5
456,"gitlab",5
457,"glueviz",5
458,"go",6
459,"go ethereum",5
460,"gocardless",5
461,"godot",5
462,"golang",6
463,"google bigquery",5
464,"google cloud automl",5
465,"google cloud bigtable",5
466,"google cloud platform",8
467,"google cloud spanner",5
468,"google colab",5
469,"gorm",5
470,"graphdbgraphic",5
471,"graphviz",5
472,"groovy",6
473,"gui",5
474,"hadoop",8
475,"hadoop hdfs",5
476,"haproxy",5
477,"haskell",6
478,"haxe 4",6
479,"helix core",5
480,"heroku",5
481,"hibernate",5
482,"houdini fx",5
483,"html",6
484,"html5",6
485,"iaas",7
486,"ibm db2",5
487,"ibm db2 warehouse",8
488,"ibm watson",5
489,"icloud",5
490,"idl",6
491,"iis",5
492,"image processing",7
493,"imap",7
494,"implementation",7
495,"incredibuild",5
496,"infura",5
497,"inpage",5
498,"insight",8
499,"installation",7
500,"integrating",7
501,"integration",7
502,"interfaces",7
503,"internet of things",7
504,"intranet",5
505,"intune",5
506,"invision",5
507,"ionic",8
508,"ios",5
509,"iot",7
510,"ip",7
511,"ipps",8
512,"ipsec",7
513,"ipv4",7
514,"ipv6",7
515,"irs",8
516,"isdn",5
517,"jamf",5
518,"java",6
519,"javafx",6
520,"javascript",6
521,"jdk",5
522,"jenkins",5
523,"jira",5
524,"jit",5
525,"joomla",5
526,"jquery",6
527,"js",6
528,"jscript",6
529,"json",7
530,"json rpc api",5
531,"json-rpc",5
532,"julia",6
533,"jupyter notebook",5
534,"keras",8
535,"kernel",5
536,"knack",5
537,"knime",5
538,"kobiton",5
539,"kotlin",6
540,"kubernetes",5
541,"l2tp",7
542,"lan",7
543,"landesk",7
544,"laravel",8
545,"latex",5
546,"ldap",7
547,"lift",8
548,"linq",8
549,"linux",5
550,"liquidity",5
551,"logic",7
552,"logical",7
553,"longrange",5
554,"lua",6
555,"lync",5
